;;;;;;;;;;;
ROTEIRO DE HOMOLOGAÇÃO SAJ5 - SAJMP | SAJADM | SAJWEB;;;;;HOJE:;23/07/2026;;FUNCIONANDO;318;17%;
884;SAJMP;Pasta digital do MP;Salvar;Salvar alterações na pasta digital;;;;;;;
885;SAJMP;Pasta digital do MP;Limpar;Limpar pasta digital;;;;;;;
886;SAJMP;Pasta digital do MP;Fechar;Fechar pasta digital;;;;;;;
887;SAJMP;Pasta digital do MP - 2º Monitor;Abertura da Pasta digita do MP;Abrir a Pasta Digital do MP atráves Menu Cadastro;;;;;;;
888;SAJMP;Pasta digital do MP - 2º Monitor;Abertura da Pasta digita do MP;Abrir a Pasta Digital do MP atráves da Tela Status de Importação;;;;;;;
889;SAJMP;Pasta digital do MP - 2º Monitor;Abertura da Pasta digita do MP;Abrir a Pasta Digital do MP atráves de Cadastro no Fluxo de Trabalho (Atividade do menu de contexto);;;;;;;
890;SAJMP;Pasta digital do MP - 2º Monitor;Abertura da Pasta digita do MP;Abrir a Pasta Digital do MP atráves de Cadastro na Consulta Aberta (Botão nos dados da consulta onde os processos são apresentados);;;;;;;
891;SAJMP;Pasta digital do MP - 2º Monitor;Abertura da Pasta digita do MP;Abrir a Pasta Digital do MP atráves de Cadastro na Consulta Avançada (Atividade do menu de contexto);;;;;;;
892;SAJMP;Pasta digital do MP - 2º Monitor;Abertura da Pasta digita do MP;Abrir a Pasta Digital do MP atráves de Cadastro na Consulta Básica (Atividade do menu de contexto);;;;;;;
893;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Importar documentos através do botão Nova Peça (Importação individual das páginas);  Parâmetro 51497 = N ;;;;;;
894;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Importar documentos com mais de 1000 páginas através do botão Nova Peça (Importação individual das páginas);;;;;;;
895;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Importar documentos através do Scanner;;;;;;;
896;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Assinar documento durante a Liberação de Documentos para os Autos;;;;;;;
897;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Liberar documentos nos Autos através do botão Liberar nos autos digitais;;;;;;;
898;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Liberar documentos nos Autos através do botão Liberar nos autos digitais no menu de contexto;;;;;;;
899;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Liberar documentos nos Autos através do Menu Arquivo >> Peças aguardando liberação >> Liberar nos autos digitais;;;;;;;
900;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Importar documentos através do Menu Arquivo >> Importar do documento >> Nova Peça (Importação individual das páginas);;;;;;;
901;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Assinar documento durante a Liberação de Documentos para os Autos importados pelo Menu Arquivo >> Importar do documento >> Nova Peça;;;;;;;
902;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Assinar documentos já Liberado nos Autos;;;;;;;
903;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Assinar documentos já assinados e liberados nos Autos;;;;;;;
904;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Assinar certidão de documento tornado sem efeito;;;;;;;
905;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Tentar assinar documentos ainda não liberados no autos;;;;;;;
906;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Importar documentos com mais de 1000 páginas através do botão Nova Peça (Importação de 10 em 10 páginas);;;;;;;
907;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Importar documentos através do Scanner;Parâmetro 51497 = S ;;;;;;
908;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Liberar documentos nos Autos através do botão Liberar nos autos digitais no menu de contexto;;;;;;;
909;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Liberar documentos nos Autos através do Menu Arquivo >> Peças aguardando liberação >> Liberar nos autos digitais;;;;;;;
910;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Importar documentos através do Menu Arquivo >> Importar do documento >> Nova Peça  (Importação de 10 em 10 páginas);;;;;;;
911;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Assinar documento durante a Liberação de Documentos para os Autos importados pelo Menu Arquivo >> Importar do documento >> Nova Peça;;;;;;;
912;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Assinar certidão de documento tornado sem efeito;;;;;;;
913;SAJMP;Pasta digital do MP;Importação, Liberação e Assinatura de Documentos na Pasta Digital do MP;Tentar assinar documentos ainda não liberados no autos;;;;;;;
914;SAJMP;Pasta digital do MP;Anotações em documentos digitalizados;Incluir Anotação usando o Menu de Contexto >> Incluir anotação;;;;;;;
915;SAJMP;Pasta digital do MP;Anotações em documentos digitalizados;Incluir mais de uma Anotação usando o botão Incluir anotação;;;;;;;
916;SAJMP;Pasta digital do MP;Anotações em documentos digitalizados;Exibir/Ocultar Anotações  via botão Exibir/Ocultar anotações;;;;;;;
917;SAJMP;Pasta digital do MP;Anotações em documentos digitalizados;Excluir Anotação de páginas liberadas nos autos;;;;;;;
918;SAJMP;Pasta digital do MP;Anotações em documentos digitalizados;Alterar dados de Anotação de páginas liberadas nos autos;;;;;;;
919;SAJMP;Pasta digital do MP;Anotações em documentos digitalizados;Verificar exibição dos dados na Aba Anotações por Página;;;;;;;
920;SAJMP;Pasta digital do MP;Anotações em documentos digitalizados;Verificar exibição dos dados na Aba Anotações por Data;;;;;;;
921;SAJMP;Pasta digital do MP;Tornar documento sem efeito;Tornar um documento emitido pelo editor sem efeito atraveés do Botão Tornar sem efeito;;;;;;;
922;SAJMP;Pasta digital do MP;Tornar documento sem efeito;Tornar um documento sem efeito atraveés do Menu de contexto >> Tornar sem efeito;;;;;;;
923;SAJMP;Pasta digital do MP;Tornar documento sem efeito;Tornar  sem efeito do um documento do editor e copiado de outro cadastro;;;;;;;
924;SAJMP;Pasta digital do MP;Tornar documento sem efeito;Tornar sem efeito do um documento importado e copiado de outro cadastro;;;;;;;
925;SAJMP;Pasta digital do MP;Tornar documento sem efeito;Verificar a exibição de documentos tornados sem efeito (Checkbox Mostrar peças sem efeito);;;;;;;
926;SAJMP;Pasta digital do MP;Exclusão de documentos na Pasta Digital do MP;Verificar a exibição de todos as páginas de um documento emitido pelo Editor de Documentos;;;;;;;
927;SAJMP;Pasta digital do MP;Exclusão de documentos na Pasta Digital do MP;Verificar a exibição de todos as páginas de um documento importado ;;;;;;;
928;SAJMP;Pasta digital do MP;Exclusão de documentos na Pasta Digital do MP;Verificar a exibição de todos as páginas de um documento tornado sem efeito;;;;;;;
929;SAJMP;Pasta digital do MP;Separar, Alterar e Recategorizar tipo de documento;Efetuar a separação de documentos digitais em documentos importados e liberados nos autos;;;;;;;
930;SAJMP;Pasta digital do MP;Separar, Alterar e Recategorizar tipo de documento;Efetuar a separação de documentos emitidos pelo Editor de Documentos e liberados nos autos (Não é possível realizar a operação);;;;;;;
931;SAJMP;Pasta digital do MP;Separar, Alterar e Recategorizar tipo de documento;Recategorizar para outro tipo de documento em documentos importados e liberados nos autos;;;;;;;
932;SAJMP;Pasta digital do MP;Separar, Alterar e Recategorizar tipo de documento;Recategorizar para outro tipo de documento em documentos emitidos pelo Editor e liberados nos autos (Não é possível realizar a operação);;;;;;;
933;SAJMP;Pasta digital do MP;Separar, Alterar e Recategorizar tipo de documento;Recategorizar para outro tipo de documento em documentos emitidos pelo Editor e aguardando liberação (Não é possível realizar a operação);;;;;;;
934;SAJMP;Pasta digital do MP;Impressão de Documentos ;Imprimir documentos liberados nos autos e que tenham documentos sem efeito (Usar opção de Imprimir também páginas sem efeito);;;;;;;
935;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Verificar a exibição de todos as páginas de um documento emitido pelo Editor de Documentos;;;;;;;
936;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Verificar a exibição de todos as páginas de um documento importado ;;;;;;;
937;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Verificar a exibição de todos as páginas de um documento tornado sem efeito;;;;;;;
938;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Verificar a exibição de todos as páginas de documentos não liberados nos autos;;;;;;;
939;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Navegar entre as páginas dos documentos com click do mouse;;;;;;;
940;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Navegar entre as páginas dos documentos utilizando o teclado;;;;;;;
941;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Navegar entre documentos com e sem efeito;;;;;;;
942;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Navegar entre documentos não liberados nos autos;;;;;;;
943;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Selecionar documentos pelo nodo principal do cadastro (Checkbox ao lado do número do cadastro);;;;;;;
944;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Selecionar documentos separadamente (Checkbox ao lado de cada tipo de documento);;;;;;;
945;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Selecionar todos os documentos separadamente e garantir que vai marcar o checkbox ao lado do número do cadastro (nodo principal);;;;;;;
946;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Selecionar documentos não liberados nos autos através do nodo principal do cadastro (Checkbox ao lado do número do cadastro);;;;;;;
947;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Selecionar documentos não liberados separadamente (Checkbox ao lado de cada tipo de documento);;;;;;;
948;SAJMP;Pasta digital do MP;Exibição, Navegação e Seleção de documentos na árvore de páginas;Selecionar todos os documentos não liberados os autos e garantir que vai marcar o checkbox ao lado do número do cadastro (nodo principal);;;;;;;
949;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Executar atividades vindas do Fluxo de Trabalho atrvés dos botões do Menu Fluxo de Trabalho;;;;;;;
950;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Verificar dados de Propriedades de documentos importados e/ou emitidos (Verificar Assinatura, Movimentação e Data da Movimentação);;;;;;;
951;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Verificar dados de Propriedades de documentos importados aguardando liberação (Não deve exibir dados de Assinatura e Movimentação);;;;;;;
952;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Scaneamento de Documentos;;;;;;;
953;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Ordenação de Páginas;;;;;;;
954;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Esconder Barra de Navegação Lateral;;;;;;;
955;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Opções de Zoom;;;;;;;
956;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Ferramenta mão;;;;;;;
957;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Ferramenta de selecionar texto;;;;;;;
958;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Ajuste de largura da página;;;;;;;
959;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Giro de Página;;;;;;;
960;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Minimizar/Maximizar Pasta Digital;;;;;;;
961;SAJMP;Pasta digital do MP;Outras ações da Pasta digital MP;Verificar se a tela pisca;;;;;;;
962;SAJMP;Pasta digital do TJ - 2º Monitor;Abrir a Pasta Digital do TJ;Abrir a pasta do Cadastro de Processo de 1º Grau através do Cadastro de Processo de 2º Grau;;;;;;;
963;SAJMP;Pasta digital do TJ - 2º Monitor;Exibição, Navegação e Seleção de documentos na árvore de páginas;Verificar a exibição de todos as páginas apresentadas na Pasta Digital do TJ;;;;;;;
964;SAJMP;Pasta digital do TJ - 2º Monitor;Exibição, Navegação e Seleção de documentos na árvore de páginas;Verificar a seleção de páginas apresentados na Pasta Digital do TJ;;;;;;;
965;SAJMP;Pasta digital do TJ - 2º Monitor;Exibição, Navegação e Seleção de documentos na árvore de páginas;Verificar a seleção de documentos apresentados na Pasta Digital do TJ;;;;;;;
966;SAJMP;Pasta digital do TJ - 2º Monitor;Exibição, Navegação e Seleção de documentos na árvore de páginas;Navegar entre as páginas dos documentos com click do mouse;;;;;;;
967;SAJMP;Pasta digital do TJ - 2º Monitor;Exibição, Navegação e Seleção de documentos na árvore de páginas;Navegar entre as páginas dos documentos utilizando o teclado;;;;;;;
968;SAJMP;Pasta digital do TJ - 2º Monitor;Efetuar Decisões;Efetuar decisão de Favorável através do botão na Pasta Digital do TJ;;;;;;;
969;SAJMP;Pasta digital do TJ - 2º Monitor;Efetuar Decisões;Efetuar decisão de Desfavorável através do botão na Pasta Digital do TJ;;;;;;;
970;SAJMP;Pasta digital do TJ - 2º Monitor;Efetuar Decisões;Efetuar decisão de Parcialmente Favorável através do botão na Pasta Digital do TJ;;;;;;;
971;SAJMP;Pasta digital do TJ - 2º Monitor;Anotações em Documentos;Incluir Anotação usando o Menu de Contexto >> Incluir anotação;;;;;;;
972;SAJMP;Pasta digital do TJ - 2º Monitor;Anotações em Documentos;Incluir mais de uma Anotação usando o botão Incluir anotação;;;;;;;
973;SAJMP;Pasta digital do TJ - 2º Monitor;Anotações em Documentos;Exibir/Ocultar Anotações  via botão Exibir/Ocultar anotações;;;;;;;
974;SAJMP;Pasta digital do TJ - 2º Monitor;Anotações em Documentos;Verificar exibição dos dados na Aba Anotações por Página;;;;;;;
975;SAJMP;Pasta digital do TJ - 2º Monitor;Anotações em Documentos;Verificar exibição dos dados na Aba Anotações por Data;;;;;;;
976;SAJMP;Pasta digital do TJ - 2º Monitor;Outras ações da Pasta digital TJ;Minimizar/Maximizar Pasta Digital do TJ;;;;;;;
977;SAJMP;Pasta digital do TJ - 2º Monitor;Outras ações da Pasta digital TJ;Verificar se a tela pisca;;;;;;;
978;SAJMP;Pasta digital do TJ - 2º Monitor;Outras ações da Pasta digital TJ;Opções de Zoom;;;;;;;
979;SAJMP;Pasta digital do TJ - 2º Monitor;Outras ações da Pasta digital TJ;Ajuste de largura da página;;;;;;;
980;SAJMP;Pasta digital do TJ - 2º Monitor;Outras ações da Pasta digital TJ;Giro de Página;;;;;;;
981;SAJMP;Pasta digital do TJ - 2º Monitor;Outras ações da Pasta digital TJ;Salvar Página;;;;;;;
982;SAJMP;Pasta digital do TJ - 2º Monitor;Outras ações da Pasta digital TJ;Ferramenta mão;;;;;;;
983;SAJMP;Pasta digital do TJ - 2º Monitor;Outras ações da Pasta digital TJ;Ferramenta de selecionar texto;;;;;;;
984;SAJMP;Pasta digital do TJ;Abrir pasta digital do TJ;Abrir pasta digital do TJ;;;;;;;
985;SAJMP;Pasta digital do TJ;Consultar por número MP;Realizar consulta;;;;;;;
986;SAJMP;Pasta digital do TJ;Consultar por número Judiciário;Realizar consulta;;;;;;;
987;SAJMP;Pasta digital do TJ;Abrir pasta digital do TJ através da tela de cadastro;Testar pasta digital do TJ com a pasta digital já aberta;;;;;;;
988;SAJMP;Pasta digital do TJ;Fluxo de trabalho;Testar pasta digital do TJ através do fluxo de trabalho;;;;;;;
989;SAJMP;Pasta digital do TJ;Atalho;Testar pasta digital do TJ através do F11;;;;;;;
